run_key,experiment_name,forget_id,policy,FA,EA,RA,ERB,IdentityLeak@1,IdentityLeak@4,IdentityLeak@8,mean_target_similarity,max_target_similarity,RA_hard,RA_random,hard_neighbor_retention_gap,forget_sample_count,retain_sample_count,total_sample_count,detector_success_rate,fallback_sample_count,attempted_sample_count,evaluated_sample_count,dropped_no_face_count,det_thresh,use_fallback,after_dir,threshold
expanded_3920/least_sim_hard,expanded_3920,3920,least_sim_hard,0.0,100.0,95.07042253521126,97.47292418772562,0.0,0.0,0.0,0.09427219877640407,0.14389848709106445,93.05555555555556,97.14285714285714,-4.087301587301582,24,142,166,100.0,0,168,166,2,0.1,False,outputs/expanded_3920/least_sim_hard_gen,0.14650361239910126
expanded_4015/nearest_hard,expanded_4015,4015,nearest_hard,8.333333333333332,91.66666666666667,77.77777777777779,84.15300546448088,0.0,33.33333333333333,33.33333333333333,0.7640835344791412,0.7970967888832092,55.55555555555556,100.0,-44.44444444444444,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_4015/nearest_hard_gen,0.14650361239910126
expanded_4015/random_hard,expanded_4015,4015,random_hard,8.333333333333332,91.66666666666667,77.77777777777779,84.15300546448088,0.0,33.33333333333333,33.33333333333333,0.7640835344791412,0.7970967888832092,55.55555555555556,100.0,-44.44444444444444,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_4015/random_hard_gen,0.14650361239910126
expanded_4015/median_hard,expanded_4015,4015,median_hard,62.5,37.5,77.08333333333334,50.45454545454546,100.0,100.0,100.0,0.18809285697837672,0.25198298692703247,54.166666666666664,100.0,-45.833333333333336,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_4015/median_hard_gen,0.14650361239910126
expanded_4015/least_sim_hard,expanded_4015,4015,least_sim_hard,0.0,100.0,77.08333333333334,87.05882352941177,0.0,0.0,0.0,0.16591284020493427,0.22452637553215027,54.166666666666664,100.0,-45.833333333333336,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_4015/least_sim_hard_gen,0.14650361239910126
expanded_4016/nearest_hard,expanded_4016,4016,nearest_hard,87.5,12.5,67.37588652482269,21.08768035516093,100.0,100.0,100.0,0.794602687160174,0.8248103260993958,38.88888888888889,97.10144927536231,-58.21256038647342,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_4016/nearest_hard_gen,0.14650361239910126
expanded_4016/random_hard,expanded_4016,4016,random_hard,87.5,12.5,67.37588652482269,21.08768035516093,100.0,100.0,100.0,0.794602687160174,0.8248103260993958,38.88888888888889,97.10144927536231,-58.21256038647342,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_4016/random_hard_gen,0.14650361239910126
expanded_4016/median_hard,expanded_4016,4016,median_hard,16.666666666666664,83.33333333333334,67.37588652482269,74.50980392156863,0.0,0.0,100.0,0.15759900957345963,0.2156522274017334,38.88888888888889,97.10144927536231,-58.21256038647342,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_4016/median_hard_gen,0.14650361239910126
expanded_4016/least_sim_hard,expanded_4016,4016,least_sim_hard,0.0,100.0,67.37588652482269,80.50847457627118,0.0,0.0,0.0,0.0888253073208034,0.12067844718694687,38.88888888888889,97.10144927536231,-58.21256038647342,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_4016/least_sim_hard_gen,0.14650361239910126
expanded_4040/nearest_hard,expanded_4040,4040,nearest_hard,12.5,87.5,95.8041958041958,91.46399618502622,0.0,0.0,100.0,0.767708440621694,0.7948024272918701,91.66666666666666,100.0,-8.333333333333343,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_4040/nearest_hard_gen,0.14650361239910126
expanded_4040/random_hard,expanded_4040,4040,random_hard,12.5,87.5,95.8041958041958,91.46399618502622,0.0,0.0,100.0,0.767708440621694,0.7948024272918701,91.66666666666666,100.0,-8.333333333333343,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_4040/random_hard_gen,0.14650361239910126
expanded_4040/median_hard,expanded_4040,4040,median_hard,0.0,100.0,96.5034965034965,98.22064056939502,0.0,0.0,0.0,0.24679002946331388,0.27934736013412476,93.05555555555556,100.0,-6.944444444444443,21,143,164,100.0,0,168,164,4,0.1,False,outputs/expanded_4040/median_hard_gen,0.14650361239910126
