group,policy,recognizer,FA,RA,ERB,IdentityLeak@8,selection_target_similarity,mean_target_similarity,evaluated_sample_count
4431,nearest_hard,adaface,100.0,84.72222222222221,0.0,100.0,0.8893424272537231,0.7429981703559557,168
4431,random_hard,arcface,100.0,84.02777777777779,0.0,100.0,0.8893424272537231,0.7748098398248354,168
4431,random_hard,adaface,100.0,84.72222222222221,0.0,100.0,0.8893424272537231,0.7429981703559557,168
4431,median_hard,arcface,0.0,83.33333333333334,90.9090909090909,0.0,0.3321038484573364,0.2963865796724955,168
4431,median_hard,adaface,0.0,84.72222222222221,91.72932330827066,0.0,0.3321038484573364,0.3093772282203038,168
4431,least_sim_hard,arcface,0.0,84.02777777777779,91.32075471698116,0.0,0.3015915751457214,0.2787743334968884,168
4431,least_sim_hard,adaface,0.0,84.72222222222221,91.72932330827066,0.0,0.3015915751457214,0.3304641135036945,168
5094,nearest_hard,arcface,0.0,97.85714285714285,98.91696750902528,0.0,0.9085071086883544,0.7171442707379659,164
5094,nearest_hard,adaface,0.0,98.57142857142858,99.28057553956836,0.0,0.9085071086883544,0.7305679619312286,164
5094,random_hard,arcface,0.0,98.57142857142858,99.28057553956836,0.0,0.4283676147460937,0.383058367917935,164
5094,random_hard,adaface,0.0,98.57142857142858,99.28057553956836,0.0,0.4283676147460937,0.4121245679756005,164
5094,median_hard,arcface,0.0,98.57142857142858,99.28057553956836,0.0,0.4283676147460937,0.383058367917935,164
5094,median_hard,adaface,0.0,98.57142857142858,99.28057553956836,0.0,0.4283676147460937,0.4121245679756005,164
5094,least_sim_hard,arcface,0.0,97.85714285714285,98.91696750902528,0.0,0.3798982501029968,0.3265217033525308,164
5094,least_sim_hard,adaface,0.0,97.85714285714285,98.91696750902528,0.0,0.3798982501029968,0.3216378390789032,164
5095,nearest_hard,arcface,87.5,90.64748201438849,21.97035745422842,100.0,0.9277671575546264,0.7720543071627617,163
5095,nearest_hard,adaface,87.5,89.92805755395683,21.94907813871817,100.0,0.9277671575546264,0.7695014501611391,163
5095,random_hard,arcface,0.0,92.14285714285714,95.91078066914498,0.0,0.3673937320709228,0.3097447541852792,164
5095,random_hard,adaface,0.0,89.28571428571429,94.33962264150944,0.0,0.3673937320709228,0.3366543936232726,164
5095,median_hard,arcface,0.0,89.28571428571429,94.33962264150944,0.0,0.4626442790031433,0.3981446623802185,164
5095,median_hard,adaface,0.0,88.57142857142857,93.93939393939394,0.0,0.4626442790031433,0.3524753836294015,164
5095,least_sim_hard,arcface,0.0,92.14285714285714,95.91078066914498,0.0,0.3673937320709228,0.3097447541852792,164
5095,least_sim_hard,adaface,0.0,89.28571428571429,94.33962264150944,0.0,0.3673937320709228,0.3366543936232726,164
7110,nearest_hard,arcface,87.5,86.01398601398601,21.82786157941437,100.0,0.9286210536956788,0.8033461918433508,167
7110,nearest_hard,adaface,83.33333333333334,86.7132867132867,27.95941375422772,100.0,0.9286210536956788,0.7918281679352125,167
7110,random_hard,arcface,0.0,86.01398601398601,92.4812030075188,0.0,0.2862815260887146,0.2284949825455745,167
7110,random_hard,adaface,0.0,88.11188811188812,93.68029739776954,0.0,0.2862815260887146,0.2768052872270345,167
7110,median_hard,arcface,0.0,86.01398601398601,92.4812030075188,0.0,0.3306444883346557,0.2288187587012847,167
7110,median_hard,adaface,0.0,87.41258741258741,93.28358208955224,0.0,0.3306444883346557,0.2372913298507531,167
7110,least_sim_hard,arcface,0.0,86.01398601398601,92.4812030075188,0.0,0.2862815260887146,0.2284949825455745,167
