run_key,experiment_name,forget_id,policy,candidate_index,candidate_identity,similarity_to_forget,similarity_rank_ascending,selected
expanded_3693/random_hard,expanded_3693,3693,random_hard,3,5747,0.29654592275619507,2,False
expanded_3693/median_hard,expanded_3693,3693,median_hard,1,3920,0.8541353344917297,3,False
expanded_3693/median_hard,expanded_3693,3693,median_hard,2,3918,0.22559183835983276,1,False
expanded_3693/median_hard,expanded_3693,3693,median_hard,3,5747,0.29654592275619507,2,True
expanded_3693/least_sim_hard,expanded_3693,3693,least_sim_hard,1,3920,0.8541353344917297,3,False
expanded_3693/least_sim_hard,expanded_3693,3693,least_sim_hard,2,3918,0.22559183835983276,1,True
expanded_3693/least_sim_hard,expanded_3693,3693,least_sim_hard,3,5747,0.29654592275619507,2,False
expanded_3920/nearest_hard,expanded_3920,3920,nearest_hard,1,3693,0.8478947877883911,3,True
expanded_3920/nearest_hard,expanded_3920,3920,nearest_hard,2,3918,0.43543487787246704,2,False
expanded_3920/nearest_hard,expanded_3920,3920,nearest_hard,3,5577,0.3106212019920349,1,False
expanded_3920/random_hard,expanded_3920,3920,random_hard,1,3693,0.8478947877883911,3,False
expanded_3920/random_hard,expanded_3920,3920,random_hard,2,3918,0.43543487787246704,2,False
expanded_3920/random_hard,expanded_3920,3920,random_hard,3,5577,0.3106212019920349,1,True
expanded_3920/median_hard,expanded_3920,3920,median_hard,1,3693,0.8478947877883911,3,False
expanded_3920/median_hard,expanded_3920,3920,median_hard,2,3918,0.43543487787246704,2,True
expanded_3920/median_hard,expanded_3920,3920,median_hard,3,5577,0.3106212019920349,1,False
expanded_3920/least_sim_hard,expanded_3920,3920,least_sim_hard,1,3693,0.8478947877883911,3,False
expanded_3920/least_sim_hard,expanded_3920,3920,least_sim_hard,2,3918,0.43543487787246704,2,False
expanded_3920/least_sim_hard,expanded_3920,3920,least_sim_hard,3,5577,0.3106212019920349,1,True
expanded_4015/nearest_hard,expanded_4015,4015,nearest_hard,1,4016,0.8748234510421753,3,True
expanded_4015/nearest_hard,expanded_4015,4015,nearest_hard,2,3882,0.32466739416122437,2,False
expanded_4015/nearest_hard,expanded_4015,4015,nearest_hard,3,6836,0.249898299574852,1,False
expanded_4015/random_hard,expanded_4015,4015,random_hard,1,4016,0.8748234510421753,3,True
expanded_4015/random_hard,expanded_4015,4015,random_hard,2,3882,0.32466739416122437,2,False
expanded_4015/random_hard,expanded_4015,4015,random_hard,3,6836,0.249898299574852,1,False
expanded_4015/median_hard,expanded_4015,4015,median_hard,1,4016,0.8748234510421753,3,False
expanded_4015/median_hard,expanded_4015,4015,median_hard,2,3882,0.32466739416122437,2,True
expanded_4015/median_hard,expanded_4015,4015,median_hard,3,6836,0.249898299574852,1,False
expanded_4015/least_sim_hard,expanded_4015,4015,least_sim_hard,1,4016,0.8748234510421753,3,False
expanded_4015/least_sim_hard,expanded_4015,4015,least_sim_hard,2,3882,0.32466739416122437,2,False
expanded_4015/least_sim_hard,expanded_4015,4015,least_sim_hard,3,6836,0.249898299574852,1,True
expanded_4016/nearest_hard,expanded_4016,4016,nearest_hard,1,4015,0.9258601665496826,3,True
expanded_4016/nearest_hard,expanded_4016,4016,nearest_hard,2,3882,0.3129567801952362,2,False
expanded_4016/nearest_hard,expanded_4016,4016,nearest_hard,3,7449,0.2904475927352905,1,False
expanded_4016/random_hard,expanded_4016,4016,random_hard,1,4015,0.9258601665496826,3,True
expanded_4016/random_hard,expanded_4016,4016,random_hard,2,3882,0.3129567801952362,2,False
expanded_4016/random_hard,expanded_4016,4016,random_hard,3,7449,0.2904475927352905,1,False
expanded_4016/median_hard,expanded_4016,4016,median_hard,1,4015,0.9258601665496826,3,False
expanded_4016/median_hard,expanded_4016,4016,median_hard,2,3882,0.3129567801952362,2,True
expanded_4016/median_hard,expanded_4016,4016,median_hard,3,7449,0.2904475927352905,1,False
expanded_4016/least_sim_hard,expanded_4016,4016,least_sim_hard,1,4015,0.9258601665496826,3,False
expanded_4016/least_sim_hard,expanded_4016,4016,least_sim_hard,2,3882,0.3129567801952362,2,False
expanded_4016/least_sim_hard,expanded_4016,4016,least_sim_hard,3,7449,0.2904475927352905,1,True
expanded_4040/nearest_hard,expanded_4040,4040,nearest_hard,1,10039,0.9098246097564697,3,True
expanded_4040/nearest_hard,expanded_4040,4040,nearest_hard,2,6951,0.2952794134616852,2,False
expanded_4040/nearest_hard,expanded_4040,4040,nearest_hard,3,1426,0.2809801697731018,1,False
expanded_4040/random_hard,expanded_4040,4040,random_hard,1,10039,0.9098246097564697,3,True
expanded_4040/random_hard,expanded_4040,4040,random_hard,2,6951,0.2952794134616852,2,False
expanded_4040/random_hard,expanded_4040,4040,random_hard,3,1426,0.2809801697731018,1,False
expanded_4040/median_hard,expanded_4040,4040,median_hard,1,10039,0.9098246097564697,3,False
expanded_4040/median_hard,expanded_4040,4040,median_hard,2,6951,0.2952794134616852,2,True
expanded_4040/median_hard,expanded_4040,4040,median_hard,3,1426,0.2809801697731018,1,False
expanded_4040/least_sim_hard,expanded_4040,4040,least_sim_hard,1,10039,0.9098246097564697,3,False
expanded_4040/least_sim_hard,expanded_4040,4040,least_sim_hard,2,6951,0.2952794134616852,2,False
expanded_4040/least_sim_hard,expanded_4040,4040,least_sim_hard,3,1426,0.2809801697731018,1,True
expanded_4426/nearest_hard,expanded_4426,4426,nearest_hard,1,4427,0.9164549112319946,3,True
expanded_4426/nearest_hard,expanded_4426,4426,nearest_hard,2,409,0.3475584089756012,2,False
expanded_4426/nearest_hard,expanded_4426,4426,nearest_hard,3,6046,0.31292635202407837,1,False
expanded_4426/random_hard,expanded_4426,4426,random_hard,1,4427,0.9164549112319946,3,True
expanded_4426/random_hard,expanded_4426,4426,random_hard,2,409,0.3475584089756012,2,False
expanded_4426/random_hard,expanded_4426,4426,random_hard,3,6046,0.31292635202407837,1,False
expanded_4426/median_hard,expanded_4426,4426,median_hard,1,4427,0.9164549112319946,3,False
expanded_4426/median_hard,expanded_4426,4426,median_hard,2,409,0.3475584089756012,2,True
expanded_4426/median_hard,expanded_4426,4426,median_hard,3,6046,0.31292635202407837,1,False
expanded_4426/least_sim_hard,expanded_4426,4426,least_sim_hard,1,4427,0.9164549112319946,3,False
expanded_4426/least_sim_hard,expanded_4426,4426,least_sim_hard,2,409,0.3475584089756012,2,False
expanded_4426/least_sim_hard,expanded_4426,4426,least_sim_hard,3,6046,0.31292635202407837,1,True
expanded_4427/nearest_hard,expanded_4427,4427,nearest_hard,1,4426,0.9471950531005859,3,True
expanded_4427/nearest_hard,expanded_4427,4427,nearest_hard,2,409,0.32100868225097656,2,False
expanded_4427/nearest_hard,expanded_4427,4427,nearest_hard,3,6046,0.3053010404109955,1,False
expanded_4427/random_hard,expanded_4427,4427,random_hard,1,4426,0.9471950531005859,3,False
expanded_4427/random_hard,expanded_4427,4427,random_hard,2,409,0.32100868225097656,2,True
expanded_4427/random_hard,expanded_4427,4427,random_hard,3,6046,0.3053010404109955,1,False
expanded_4427/median_hard,expanded_4427,4427,median_hard,1,4426,0.9471950531005859,3,False
expanded_4427/median_hard,expanded_4427,4427,median_hard,2,409,0.32100868225097656,2,True
expanded_4427/median_hard,expanded_4427,4427,median_hard,3,6046,0.3053010404109955,1,False
expanded_4427/least_sim_hard,expanded_4427,4427,least_sim_hard,1,4426,0.9471950531005859,3,False
expanded_4427/least_sim_hard,expanded_4427,4427,least_sim_hard,2,409,0.32100868225097656,2,False
expanded_4427/least_sim_hard,expanded_4427,4427,least_sim_hard,3,6046,0.3053010404109955,1,True
expanded_4430/nearest_hard,expanded_4430,4430,nearest_hard,1,4431,0.9188615083694458,3,True
expanded_4430/nearest_hard,expanded_4430,4430,nearest_hard,2,2235,0.3074941635131836,1,False
expanded_4430/nearest_hard,expanded_4430,4430,nearest_hard,3,2962,0.3255099356174469,2,False
expanded_4430/random_hard,expanded_4430,4430,random_hard,1,4431,0.9188615083694458,3,True
expanded_4430/random_hard,expanded_4430,4430,random_hard,2,2235,0.3074941635131836,1,False
expanded_4430/random_hard,expanded_4430,4430,random_hard,3,2962,0.3255099356174469,2,False
expanded_4430/median_hard,expanded_4430,4430,median_hard,1,4431,0.9188615083694458,3,False
expanded_4430/median_hard,expanded_4430,4430,median_hard,2,2235,0.3074941635131836,1,False
expanded_4430/median_hard,expanded_4430,4430,median_hard,3,2962,0.3255099356174469,2,True
expanded_4430/least_sim_hard,expanded_4430,4430,least_sim_hard,1,4431,0.9188615083694458,3,False
